id,name,name_he,viv,viv_code,powiat,sum_group,value,addition,addition_type,group,geocode,modern_name,lat,lon,galil,galil_id,wikidata,wikipedia,osm_id,text,is_child,parent_id
83,Działyń,דז׳יאלין,Kalisz,KLS,Gnieźnienski,KLS_5,104,,,,KLS_DZIALYN,"Działyń, Gniezno County, Greater Poland Voivodeship, Poland",52.5938834,17.4981273,Great Poland,3,Q5319745,pl:Działyń (województwo wielkopolskie),692612111,Miasto Działyń,0,
84,Witkow,ויטקובו,Kalisz,KLS,Gnieźnienski,KLS_5,354,,,,KLS_WITKOW,"Witkowo, Gniezno County, Greater Poland Voivodeship, Poland",52.43843,17.77321,Great Poland,3,Q1122800,pl:Witkowo,2716714,Miasto Witkow,0,
85,Skoki,סקוקי,Kalisz,KLS,Gnieźnienski,KLS_5,372,,,,KLS_SKOKI,"Skoki, Wągrowiec County, Greater Poland Voivodeship, Poland",52.6723033,17.1606891,Great Poland,3,Q557306,pl:Skoki (miasto),2698550,Miasto Skoki,0,
86,Września,וורשנא,Kalisz,KLS,Gnieźnienski,KLS_5,436,,,,KLS_WRZESNIA,"Września, Greater Poland Voivodeship, Poland",52.32382,17.56654,Great Poland,3,Q52902,pl:Września,2676511,Miasto Września,0,
87,Czerniejow,צ'רנייוב,Kalisz,KLS,Gnieźnienski,KLS_5,20,,,,KLS_CZERNIEJOW,"Czerniejewo, Gniezno County, Greater Poland Voivodeship, Poland",52.4262274,17.4890829,Great Poland,3,Q1149495,pl:Czerniejewo,2698545,Miasto Czerniejow,0,
88,Żydów,,Kalisz,KLS,Gnieźnienski,KLS_5,33,,,,KLS_ZYDOW,"Żydowo, Gniezno County, Greater Poland Voivodeship, Poland",52.453899,17.590584,Great Poland,3,,,31604922,Miasto Żydów,0,
90,Mrocza,מרוצ'ה,Kalisz,KLS,Nakielski,KLS_6,105,,,,KLS_MROCZA,"Mrocza, Nakło County, Kuyavian-Pomeranian Voivodeship, Poland",53.242838,17.6040197,Great Poland,3,Q761508,pl:Mrocza,3093880,Miasto Mrocza,0,
91,Krajenka,קראז'נקה,Kalisz,KLS,Nakielski,KLS_6,254,,,,KLS_KRAJENKA,"Krajenka, Złotów County, Greater Poland Voivodeship, Poland",53.29667,16.99062,Great Poland,3,Q741667,pl:Krajenka,2860714,Miasto Krajenka,0,
92,Dębrzno,דברזנו,Kalisz,KLS,Nakielski,KLS_6,308,,,,KLS_DEBRZNO,"Debrzno, Człuchów County, Pomeranian Voivodeship, Poland",53.5380522,17.2364118,Great Poland,3,Q990837,pl:Debrzno,3090303,Miasto Dębrzno,0,
93,Granowo,,Kalisz,KLS,Nakielski,KLS_6,97,,,,KLS_GRANOWO,"Granowo, Grodzisk Wielkopolski County, Greater Poland Voivodeship, Poland",52.25,17.1,Great Poland,3,,,,Miasto Granowo,0,
94,Złotowo,זלוטוב,Kalisz,KLS,Nakielski,KLS_6,1027,,,,KLS_ZLOTOW,"Złotów, Greater Poland Voivodeship, Poland",53.36381,17.04046,Great Poland,3,Q249166,pl:Złotów,2860712,Miasto Złotowo,0,
95,Lendyczek,,Kalisz,KLS,Nakielski,KLS_6,52,,,,KLS_LEDYCZEK,"Lędyczek, Złotów County, Greater Poland Voivodeship, Poland",53.5374739,16.9647281,Great Poland,3,,,31587456,Miasto Lendyczek,0,
96,Łobzenica,לובזניצ'ה,Kalisz,KLS,Nakielski,KLS_6,572,,,,KLS_LOBZENICA,"Łobżenica, Piła County, Greater Poland Voivodeship, Poland",53.2622714,17.2557665,Great Poland,3,Q345386,pl:Łobżenica,2718414,Miasto Łobzenica,0,
97,Sempelborg,,Kalisz,KLS,Nakielski,KLS_6,553,,,,KLS_SEMPELBORG,"Sępólno Krajeńskie, Kuyavian-Pomeranian Voivodeship, Poland",53.4513,17.53162,Great Poland,3,,,3093884,Miasto Sempelborg,0,
98,Nakło,נקלו,Kalisz,KLS,Nakielski,KLS_6,56,,,,KLS_NAKLO,"Nakło nad Notecią, Kuyavian-Pomeranian Voivodeship, Poland",53.1417565,17.6018342,Great Poland,3,Q988576,pl:Nakło nad Notecią,2635001,Miasto Nakło,0,
100,Łask,לאסק,Sieradzkie,SRD,,SRD_1,1588,,,,SRD_LASK,"Łask, Łask County, Łódź Voivodeship, Poland",51.5906364,19.1327882,Great Poland,3,Q324897,pl:Łask,2919499,Synagoga Łaska z parafiami,0,
101,Warta,ורטה,Sieradzkie,SRD,,SRD_1,362,,,,SRD_WARTA,"Warta, Sieradz County, Łódź Voivodeship, Poland",51.7103227,18.6250691,Great Poland,3,Q1005472,pl:Warta (miasto),2911956,Synagoga Wartska z paraf.,0,
102,Dobra,דוברה,Sieradzkie,SRD,,SRD_1,380,,,,SRD_DOBRA,"Dobra, Turek County, Greater Poland Voivodeship, Poland",51.8804605,18.6371687,Great Poland,3,Q1827657,pl:Dobra (powiat sanocki),6968949,Synagoga Dobrska z paraf.,0,
103,Błaszki,בלאשקי,Sieradzkie,SRD,,SRD_1,310,,,,SRD_BLASZKI,"Błaszki, Sieradz County, Łódź Voivodeship, Poland",51.6515663,18.4344355,Great Poland,3,Q989423,pl:Błaszki,2911954,Synagoga Błaszkowska z paraf.,0,
104,Lutomiersk,לוטומיירסק,Sieradzkie,SRD,,SRD_1,445,,,,SRD_LUTOMIERSK,"Lutomiersk, Pabianice County, Łódź Voivodeship, Poland",51.7537563,19.2109304,Great Poland,3,Q1006764,pl:Lutomiersk,13623516,Synagoga Lutomirska z paraf.,0,
105,Piotrków,פיוטרקוב טריבונלסקי,Sieradzkie,SRD,,SRD_1,1107,,,,SRD_PIOTRKOW,"Piotrków Trybunalski, Piotrków County, Łódź Voivodeship, Poland",51.4051721,19.7030244,Great Poland,3,Q158004,pl:Piotrków Trybunalski,2414866,Synagoga Piotrkowska z paraf.,0,
106,Koniecpol,קונייצפול,Sieradzkie,SRD,,SRD_1,733,,,,SRD_KONIECPOL,"Koniecpol, Częstochowa County, Silesian Voivodeship, Poland",51.21666667,19.5,Little Poland,6,Q1003267,pl:Koniecpol,2831160,Synagoga Koniecpolska z paraf.,0,
107,Kaminsk,קאמיינסק,Sieradzkie,SRD,,SRD_1,25,,,,SRD_KAMINSKU,"Kamieńsk, Radomsko County, Łódź Voivodeship, Poland",51.2048619,19.4988658,Little Poland,6,Q991887,pl:Kamieńsk,2434304,Synagoga W mieście Kamińsku do Przedborza,0,
109,Działoszyn,דז'יאלושין,Sieradzkie,WLN,ziemi Wieluńskiey.,SRD_2,1956,,,,WLN_DZIALOSZYN,"Działoszyn, Pajęczno County, Łódź Voivodeship, Poland",51.1166563,18.8651227,Little Poland,6,Q1015152,pl:Działoszyn,2911373,Synagoga Działoszyńska z paraf.,0,
